titre,entreprise,secteur,localisation,competences,experience,contrat,cluster
Téléconseillère commercial cdi,-,Commercial / Vente,Mohammedia,bac+3 en gestions dadministration /commerce ou bien qualite,,CDI,1
Commercial digital (h/f) à / bac+5,PJ,Commercial / Vente,Casablanca,,"reussie sur le terrain, vous connaissez les cycles de vente - temperament : chasseur dans l'ame, excellent negociateur, sens de l'ecoute avant de postuler, assurez-vous que votre profil corresponde bien au poste",CDI,1
Commercial showroom,TECTRA,Commercial / Vente,Casablanca,"maitrise des logiciels de modelisation 3d (ex: sketchup, autocad, ou specifiques a la marque). maitrise des outils de gestion de la relation client (crm) et bureautique. excellente presentation et elocution (arabe/francais indispensable). sens aigu de l'esthetique et creativite. forte capacite de negociation et orientation resultats.","une experience de 2 a 3 ans minimum est souvent requise dans la vente de produits de luxe, de decoration ou d'ameublement.",A discuter,1
Messagerie & transport / casablanca,Confidentiel,Transport / Achat / Logistique,Tout le Maroc,"s recherches : commerciaux / agents de terrain responsables logistique chauffeurs livreurs agents de chargement et de dechargement pointeurs / taxateurs magasiniers inventoristes controleurs logistiques objectif : developper un reseau solide et diversifie afin dameliorer nos services de livraison, distribution et logistique. zone : casablanca et d'autre",dans le transport/logistique est un plus,A discuter,7
Commercial terrain rabat/ /kenitra et environs,Wafr,Commercial / Vente,Salé,,,A discuter,1
Commercial terrain besoin immédiat,Wafr,Commercial / Vente,Marrakech,,,A discuter,1
Commercial terrain besoin immédiat,Wafr,Commercial / Vente,Tanger,,,A discuter,1
IngÉnieur commercial ( electrique ),SARL,Industrie / Ingénierie / Energie,Deroua,ingenieur en genie electrique ou equivalent. minimum 2 ans d'experience dans le reseau electrique. poste base a zone industrielle sapino - deroua disponibilite,dans le reseau electrique. poste base a zone industrielle sapino - deroua disponibilite,CDI,8
Commercial terrain besoin immédiat,Wafr,Commercial / Vente,Casablanca,,,A discuter,1
Magasinier,entreprise,Autre,Casablanca,,,,3
Ingénieur Électricité / ingén fluide / modeleur proj,GETB INGENIERIE,Construction / Btp,Casablanca,"(commun aux trois postes) diplome en adequation avec le poste vise (ingenieur detat pour les postes dingenieur). experience de 2 ans minimum sur des projets batiment tce (debutants motives etudies pour le poste de projeteur). bonne maitrise du francais, a lecrit comme a loral. sens de lorganisation, esprit danalyse et capacite a travailler en mode projet. disponibilite, rigueur technique et aptitude au travail en equipe pluridisciplinaire - candidature merci dadresser votre cv accompagne dune lettre de motivation, en precisant clairement le poste vise dans lobjet du message via ce site.","en etudes cfo/cfa maitrise de caneco, dialux, autocad dimensionnement tgbt, eclairage, courants faibles redaction cctp, dpgf, notes de calcul ingenieur fluides / thermique diplome dingenieur detat en genie climatique / energetique etudes cvc, plomberie, desenfumage, protection incendie maitrise de pleiades, cfd, autocad bilans thermiques et calculs de deperditions connaissance rtcm et normes marocaines modeleur-projeteur cad/revit - diplome en genie civil, electricite ou fluides maitrise imperative de revit (mep / archi / struct) bonne pratique dautocad 2d/3d production de plans dexecution et syntheses bim rigueur, autonomie, esprit dequipe",CDI,4
