Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Messagerie & transport / casablanca,Confidentiel,Transport / Achat / Logistique,Tout le Maroc,,dans le transport/logistique est un plus,A discuter,1 Apr-16:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10352256/Messagerie-et-transport-casablanca.html
Commercial digital (h/f) à / bac+5,PJ,Commercial / Vente,Casablanca,,"reussie sur le terrain, vous connaissez les cycles de vente - temperament : chasseur dans l'ame, excellent negociateur, sens de l'ecoute avant de postuler, assurez-vous que votre profil corresponde bien au poste",CDI,30 Apr-9:51,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365946/Commercial-digital-(hf)-à-casablanca-bac5.html
Commercial showroom,TECTRA,Commercial / Vente,Casablanca,"maitrise des logiciels de modelisation 3d (ex: sketchup, autocad, ou specifiques a la marque). maitrise des outils de gestion de la relation client (crm) et bureautique. excellente presentation et elocution (arabe/francais indispensable). sens aigu de l'esthetique et creativite. forte capacite de negociation et orientation resultats.","une experience de 2 a 3 ans minimum est souvent requise dans la vente de produits de luxe, de decoration ou d'ameublement.",A discuter,30 Apr-11:42,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372278/Commercial-Showroom.html
Comptable expérimentée,GEO4NET,Informatique / Multimédia / Internet,Casablanca,"formation bac+3 ou bac+5 en comptabilite ou equivalent experience minimum de 3 ans, idealement en cabinet dexpertise comptable ou en","minimum de 3 ans, idealement en cabinet dexpertise comptable ou en",A discuter,29 Apr-12:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364330/Comptable-expérimentée.html
Technicien cfo/cfa,INVITECH SOLUTIONS,Informatique / Multimédia / Internet,Agadir,"cles : autonomie, rigueur, bonnes relations clients. capacite a lire des plans, maitrise des outils de mesure. connaissances des technologies evolutives. securite : systemes d'alarme (intrusion, incendie), videosurveillance, controle d'acces (lecteurs de badges, motorisations). communication : telephonie, reseaux informatiques (vdi), interphonie, domotique.",2-5 ans d'experience minimum,CDI,30 Apr-12:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372311/Technicien-CFOCFA.html
Chargée rh,OZONEXPRESS,Ressources Humaines / Recrutement / Intérim,Casablanca,"nous recherchons une professionnelle confirmee, organisee et pragmatique, capable dassurer la gestion des",significative dau moins 2 ans. une experience en societe dinterim ou dans un environnement a fort volume est fortement appreciee. vos,A discuter,30 Apr-12:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372308/Chargée-RH.html
Responsable des ressources humaines (h/f),Confidentiel,Comptabilité / Gestion / Audit,Kénitra,,"requise : minimum 5 ans - secteur : agro-alimentaire - disponibilite : poste a pourvoir rapidement dans le cadre dun renforcement de ses equipes, une",CDI,30 Apr-12:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366894/Responsable-des-Ressources-Humaines-(HF).html
Technico commercial(e) h/f / magasinier industriel,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,,"en pose de menuiserie industrielle ( portes, placardes) -excellent relationnel, rigueur technique et sens de l'organisation, bonne communication et prise de contact, redaction des pv -permis b requis ( deplacements frequents ) -bac+2 avec plus de 3 ans d'experiences magasinier industriel (homme)",A discuter,30 Apr-12:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368379/Technico-Commercial(e)-HF-Magasinier-industriel.html
Assistante administatif & comptable,entreprise,Comptabilité / Gestion / Audit,Casablanca,,,,30 Apr-12:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367641/assistante-administatif-et-comptable.html
Comptable expérimenté,Fiduciaire Internationale,Comptabilité / Gestion / Audit,Casablanca,"maitrise des normes comptables et fiscales locales et internationales. qualites personnelles : rigueur, sens de lorganisation et esprit analytique. autonomie et capacite a travailler efficacement en equipe. excellentes","minimum 2 ans dexperience reussie en comptabilite, idealement au sein dun cabinet dexpertise comptable.",A discuter,30 Apr-12:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366123/Comptable-Expérimenté.html
assistante commerciale hispanophone,industriel,Accueil / Secrétariat / Administration,Tanger,-experience confirmee dans la gestion du back office et les operations commerciales. -excellente communication ecrite et orale. -maitrise parfaite du francais et de lespagnol. - poste base a: tanger,confirmee dans la gestion du back office et les operations commerciales. -excellente communication ecrite et orale. -maitrise parfaite du francais et de lespagnol. - poste base a: tanger,CDI,30 Apr-12:02,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372297/Assistante-Commerciale-hispanophone-Tanger.html
Assistante achat,equipement industrielle,Industrie / Ingénierie / Energie,Casablanca,,,CDD,30 Apr-12:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370852/assistante-achat.html
Technicien de maintenance électricité,SOCIETE ANONYME,Maintenance / Entretien,Tout le Maroc,"formation en electricite, maintenance industrielle ou genie climatique experience souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa","souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa",A discuter,30 Apr-11:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371601/Technicien-de-maintenance-électricité.html
Commerciale bureau,AM PROD,Commercial / Vente,Casablanca,,"au moins 2 ans , les interesses envoient leurs cv , merci",CDI,30 Apr-11:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368364/Commerciale-Bureau.html
Technico commerciaux / et casablanca,Confidentiel,Industrie / Ingénierie / Energie,Mohammedia,,"reussie de 3 a 8 ans dans un poste similaire ou proche, en matiere de commercialisation soit dequipements, de consommables industrielles, de produits chimiques, ou projets techniques. ainsi, vos activites principales seront de : identifier de nouvelles opportunites commerciales dans les secteurs cibles. construire et developper un portefeuille clients durable via une prospection structuree et ciblee. organiser des visites clients regulieres afin de comprendre leurs besoins et proposer des solutions adaptees. assurer une presence terrain importante et developper une relation de proximite avec les clients. elaborer les offres commerciales et propositions techniques en collaboration avec lequipe avant-vente. assurer une veille concurrentielle active et proposer des actions damelioration des services. communiquer des reportings hebdomadaires sur les actions commerciales. package attractif",CDI,30 Apr-11:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368363/Technico-Commerciaux-Mohammedia-et-Casablanca.html
Infirmière préleveuse laboratoire d'analyses médic,IMMCELL,Santé / Médical,Rabat,,"confirmee des prelevements adultes, enfants et nouveaux nes ainsi que des enregistrements de dossiers de patients de preference sur le logiciel kalisil. la candidate doit avoir une excellente capacite relationnelle, une presentation impeccable et maitriser la langue francaise. poste cdi apres periode d'essai.",A discuter,30 Apr-11:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368950/Infirmière-préleveuse-Laboratoire-dAnalyses-Médic.html
Ingénieur chargé des appels d’offres & développement,confidentiel,Maintenance / Entretien,Rabat,- ingenieur en genie electrique. - maitrise du metier de la maintenance multi-technique - minimum 2 ans dexperience dans le,dans le,A discuter,30 Apr-11:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371582/Ingénieur-chargé-des-appels-d’offres-et-développement-rabat.html
