ad_id,title,city,description,education_level,salary,published_day_label,published_time,listing_type,source_page,url,scraped_at
10358828,إعلان عن توظيف 50 عاملا فلاحيا – مراكش,Marrakech,,Pas important,A discuter,,,premium,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10358828/إعلان-عن-توظيف-50-عاملا-فلاحيا-–-مراكش.html,2026-04-12T23:56:31
10352256,Messagerie & transport / casablanca,Tout le Maroc,,Bac+2,A discuter,,,premium,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10352256/Messagerie-et-transport-casablanca.html,2026-04-12T23:56:31
10355885,Enseignante de françai/ arabe/mathématiques,Casablanca,Groupe scolaire de renommée recrute des éducatrices de...,Bac+3,A discuter,Aujourd'hui,23:45,standard,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10355885/Enseignante-de-françai-arabemathématiques.html,2026-04-12T23:56:31
10359948,Chef pâtissier – casablanca,Casablanca,Nous sommes à la recherche d’un chef pâtissier talentueux...,Bac+2,A discuter,Aujourd'hui,23:35,standard,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10359948/Chef-Pâtissier-–-Casablanca.html,2026-04-12T23:56:31
10359947,Bagagiste – casablanca,Casablanca,Nous sommes à la recherche d’un bagagiste dynamique et...,Pas important,A discuter,Aujourd'hui,23:35,standard,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10359947/Bagagiste-–-Casablanca.html,2026-04-12T23:56:31
10349715,Notaire à marrakech recrute réceptionniste,Marrakech,étude notariale basée à marrakech recrute deux chargées...,,,Aujourd'hui,23:15,standard,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10349715/Notaire-à-Marrakech-recrute-réceptionniste.html,2026-04-12T23:56:31
10356650,Commercial terrain,Rabat,"Dans le cadre du développement de nos activités, nous...",Pas important,A discuter,Aujourd'hui,23:10,standard,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10356650/Commercial-Terrain.html,2026-04-12T23:56:31
10350975,Assistante technique et administratif,Temara,Entreprise de travaux bâtiment cherche une assistante...,Bac+2,A discuter,Aujourd'hui,23:10,standard,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10350975/Assistante-technique-et-administratif.html,2026-04-12T23:56:31
10352606,Directeur administratif et financier - immobilier,Casablanca,Directeur administratif et financier (daf) sénior...,Bac+5,A discuter,,,standard,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10352606/Directeur-Administratif-et-Financier-Immobilier.html,2026-04-12T23:56:31
10359886,Assistante administrative - cabinet dentaire,Casablanca,Recrutement – assistante administrative & commerciale...,,,,,standard,1,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10359886/assistante-administrative-cabinet-dentaire.html,2026-04-12T23:56:31
