Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Messagerie & transport / casablanca,Confidentiel,Transport / Achat / Logistique,Tout le Maroc,,dans le transport/logistique est un plus,A discuter,1 Apr-16:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10352256/Messagerie-et-transport-casablanca.html
Responsable informatique - casablanca,TECTRA,Informatique / Multimédia / Internet,Casablanca,"- maitrise des systemes reseaux et infrastructures -bonne connaissance en cyber securite -experience en solutions erp et cloud -connaissance des bonnes pratiques it (itil, gestion de projet)",minimum 5 ans dexperience en informatique -experience confirmee en gestion de projets it,A discuter,27 Apr-11:53,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369995/Responsable-informatique-casablanca.html
Commercial digital (h/f) à casablanca / bac+5,PJ,Commercial / Vente,Casablanca,,"reussie sur le terrain, vous connaissez les cycles de vente - temperament : chasseur dans l'ame, excellent negociateur, sens de l'ecoute avant de postuler, assurez-vous que votre profil corresponde bien au poste",CDI,28 Apr-12:29,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365946/Commercial-digital-(hf)-à-casablanca-bac5.html
Employé polyvalent,Riad / Maison d'hote,Tourisme / Hôtellerie / Restauration,Marrakech,,,A discuter,28 Apr-10:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369868/Employé-polyvalent.html
Coordinateur pédagogique,Ihb art media,Services aux Entreprises / Formation,Casablanca,,dans la,CDI,28 Apr-10:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365978/Coordinateur-pédagogique.html
Contrôleur(se) de gestion / analyste financier,confident,Comptabilité / Gestion / Audit,Casablanca,"bac+5 en finance, comptabilite ou controle de gestion experience de 2 a 5 ans dans un poste similaire maitrise des outils excel et logiciels de gestion (erp), bonne maitrise de sage 100 esprit analytique, rigueur et sens de lorganisation bon relationnel et capacite a travailler en equipe type de","de 2 a 5 ans dans un poste similaire maitrise des outils excel et logiciels de gestion (erp), bonne maitrise de sage 100 esprit analytique, rigueur et sens de lorganisation bon relationnel et capacite a travailler en equipe type de",CDI,29 Apr-10:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10361935/Contrôleur(se)-de-gestion-analyste-financier.html
manutentionnaires (h/f),manpower,Autre,Bouskoura,"bonne condition physique serieux(se), ponctuel(le) et motive(e) une premiere experience en manutention est un atou",en manutention est un atou,Interim,29 Apr-10:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371493/Manutentionnaires-(HF).html
Chargée de clientèle arabophone (f),CL,Commercial / Vente,Casablanca,"energie positive naturelle et attitude motivee excellent relationnel et esprit dequipe personne proactive, serieuse et impliquee ce que nous valorisons avant tout : - la motivation - lenvie dapprendre - une vraie energie dans la communication nous offrons : environnement de travail stimulant",,CDI,29 Apr-10:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10357811/Chargée-de-Clientèle-Arabophone-(F).html
Commercial en immobilier,TAGANA,Immobilier,Marrakech,,"minimum et obligatoire dans la commercialisation de biens immobiliers. - excellente maitrise du marche immobilier a marrakech. - tres bon relationnel, force de proposition et rigueur. - maitrise des outils crm et techniques de negociation.",CDI,29 Apr-10:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365167/COMMERCIAL-EN-IMMOBILIER.html
Assistant administratif (h/f) - tÉtouan,LE BERGER,Industrie / Ingénierie / Energie,Tetouan,"bac+3 en gestion, comptabilite ou equivalent. minimum 3 ans d'experience dans un poste similaire. maitrise pack office et outils comptables. organisation rigoureuse, francais/arabe courant, sens du relationnel. conditions : cdi","dans un poste similaire. maitrise pack office et outils comptables. organisation rigoureuse, francais/arabe courant, sens du relationnel. conditions : cdi",CDI,29 Apr-10:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363560/ASSISTANT-ADMINISTRATIF-(HF)-TÉTOUAN.html
Chargé de projet en élevage ovin (technicien / ing,,,Benslimane,,confirmee de dix ans et plus dans lelevage ovin ou la gestion de projets agricoles - maitrise des etudes de faisabilite et du pilotage de projets - capacite a travailler en autonomie et a proposer des solutions concretes - sens de lorganisation et orientation resultats lieu dexploitation : region de benslimane type du,,29 Apr-10:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10361019/Chargé-de-projet-en-élevage-ovin-(Technicien-Ing.html
Ouvriers - zenata,Confidentiel,Immobilier,Casablanca,,,Interim,29 Apr-10:03,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367634/Ouvriers-Zenata.html
Aide livreur permis c à casablanca,Confidentiel,Grande Distribution,Casablanca,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371475/Aide-livreur-permis-C-à-Casablanca.html
Aide-technicien - tata,Anonyme,Construction / Btp,Zagora,"formation technique de base (electricite, maintenance ou equivalent) premiere experience en chantier souhaitee motivation, serieux et esprit dequipe capacite a apprendre et a suivre les consignes - localisation : tata","en chantier souhaitee motivation, serieux et esprit dequipe capacite a apprendre et a suivre les consignes - localisation : tata",Interim,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371478/Aide-technicien-TATA.html
Chauffeur opérateur engins & remorque (permis eb),Multinational,Industrie / Ingénierie / Energie,Casablanca,"- permis eb obligatoire - experience confirmee en conduite de camions avec remorque - experience souhaitee dans : - depanneuse - camion grue - remorque (groupe electrogene ou autres equipements) - bonne maitrise des techniques de chargement et dechargement - sens des responsabilites, autonomie et rigueur lieu : casablanca type de",dans le transport et la manipulation dengins.,CDI,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371477/Chauffeur-Opérateur-Engins-et-Remorque-(Permis-EB).html
Stagiaire talent acquisition - casablanca,Multinational,Ressources Humaines / Recrutement / Intérim,Casablanca,"- etudiant(e) en 4eme ou 5eme annee en management des ressources humaines ou equivalent - bonne aisance relationnelle et sens de la communication - organisation, rigueur et reactivite - maitrise des outils bureautiques important : - convention de stage obligatoire - debut de stage prevu : immediate - lieu : casablanca casa voyageurs - duree : 3 a 6 mois - type : stage",3 a 6 mois - type : stage,Stage,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371473/Stagiaire-Talent-Acquisition-Casablanca.html
Technicien plombier - tata,Anonyme,Construction / Btp,Zagora,,"equivalente experience en chantier souhaitee serieux, autonomie et sens du travail en equipe budget : 5 000 dhs logement : sur place",Interim,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371474/Technicien-Plombier-TATA.html
Technicien Électricien industriel & ht_bt - tata,Anonyme,Construction / Btp,Zagora,,"confirmee en ht/bt - bonne maitrise des equipements et reseaux electriques industriels - autonomie, rigueur et sens des responsabilites - experience en chantier fortement souhaitee - localisation : tata",Interim,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371470/Technicien-Électricien-Industriel-et-HT-BT-TATA.html
